219,Unnamed: 1,206,Unnamed: 3,188,Unnamed: 5,172,Unnamed: 7,NPSH,Unnamed: 9,W219,Unnamed: 11,W206,Unnamed: 13,W188,Unnamed: 15,W172,Unnamed: 17
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.7193308777640457,64.64400527009224,4.287252658500471,56.05586297760211,3.3518520784640042,44.767325428194994,4.287252658500471,36.6174440052701,10.634613737319356,1.2402424812316895,4.284515085747,5.238694229676568,4.284515085747,4.298203328314841,4.284515085747,3.1428794799415485,5.612683436726382,2.4792843769502753
7.527747525055373,65.1973649538867,7.106817264038963,56.294914361001325,6.685887003022554,45.17017127799736,7.106817264038963,36.666139657444006,13.454178342857848,1.218108057975769,7.145698916970574,5.663586058210569,7.145698916970574,4.674877095408441,7.145698916970574,3.470738427408641,8.407458850400989,2.738277429736435
10.35399356330841,65.26376811594204,9.933063302292,56.312621870882744,9.51213304127559,45.16574440052701,9.933063302292,36.65285902503295,16.213610053965425,1.2057360410690308,9.96261046982817,6.100413050467395,9.96261046982817,5.047731610110745,9.96261046982817,3.7444117315739263,11.223238219773036,3.0028402255932605
13.173558168846894,65.26376811594204,12.752627907830492,56.31704874835311,12.33169764681408,45.0772068511199,12.752627907830492,36.53776021080369,18.973041765073003,1.2052700519561768,12.794630816096381,6.51098268253395,12.794630816096381,5.424882783753262,12.794630816096381,4.078596315814131,14.062012626144698,3.2235611867081104
15.993122774385393,65.23277997364954,15.572192513368988,56.21965744400528,15.151262252352572,44.59910408432148,15.572192513368988,36.33855072463768,21.792606370611495,1.2061554193496704,15.604163655892984,6.922149072786631,15.604163655892984,5.763364026933708,15.604163655892984,4.366472464809618,16.849409326758305,3.4794510969263257
18.832731678067525,64.97602108036892,18.39843855162202,56.04258234519105,17.977508290605613,44.479578392621875,18.39843855162202,36.05965744400527,24.618852408864534,1.2265191078186035,18.472726200177554,7.34644414313447,18.472726200177554,6.167249967315449,18.472726200177554,4.663419338234505,19.681429673026514,3.6990581094270283
21.652296283606013,64.56874835309618,21.150837175661657,55.766950974273634,20.79707289614411,44.17412384716734,21.150837175661657,35.66892725885861,27.438417014403026,1.2539657354354858,21.23720594541124,7.717097283194548,21.23720594541124,6.484990548204152,21.23720594541124,4.932888812510733,22.5204773650671,3.8653149400865345
24.478542321859052,64.3474044795784,23.917301973837176,55.467088274044805,23.549119865830342,43.78176270716317,23.917301973837176,35.2274044795784,30.25798161994152,1.2969064712524414,23.883782444908377,8.129390883354397,23.883782444908377,6.818909906583848,23.883782444908377,5.183792476551396,25.35952505710769,4.202722018531929
27.298106927397548,63.988827404479586,26.736866579375665,55.02440052700923,26.315936318359256,43.28432147562582,26.736866579375665,34.52057971014493,33.08422765819456,1.3557839393615723,26.715802791176586,8.480284696806613,26.715802791176586,7.153094490824067,26.715802791176586,5.451140143943562,28.191545403375898,4.331621786738857
30.117671532936036,63.457602108036895,29.55643118491416,54.431198945981556,29.135500923897744,42.664558629776025,29.55643118491416,33.8462187088274,35.90379226373305,1.4261713027954102,29.576986622400163,8.861016419565992,29.576986622400163,7.473195581871295,29.576986622400163,5.679459825961963,30.97894210398951,4.518407099001692
32.943917571189075,62.908669301712784,32.38267722316718,53.85127799736496,31.96174696215079,41.88100131752306,32.38267722316718,33.00068511198946,38.65619088777269,1.5165494680404663,32.39389817525776,9.24174814232537,32.39389817525776,7.766561906179312,32.39389817525776,5.883193070711286,33.89775017054658,4.689676698424805
35.76348217672757,62.253491436100134,35.20224182870569,53.12969696969697,34.78131156768928,41.09301712779974,35.20224182870569,32.106455862977604,41.4226556859482,1.61918306350708,35.22591852152596,9.60219008675589,35.22591852152596,8.095972424930366,35.22591852152596,6.183959196527454,36.77369142789215,4.858559265103338
38.58304678226606,61.465507246376816,38.021806434244176,52.3062977602108,37.60087617322777,40.12353096179183,38.021806434244176,31.066139657444005,44.242220291486696,1.7422503232955933,38.035451361322565,9.933629583339844,38.035451361322565,8.393874111453073,38.035451361322565,6.357496477057893,39.58131126800627,4.9983996000562385
41.422655685948186,60.650961791831364,40.84137103978267,51.389934123847176,40.420440778766256,39.09649538866931,40.84137103978267,29.87973649538867,47.06846632973973,1.8870091438293457,40.983266749595614,10.317371619615983,40.983266749595614,8.672042993953966,40.983266749595614,6.5681388554734355,42.40786590089596,5.131277756170817
44.24222029148668,59.713939393939405,43.60045109653685,50.4453782678039,43.2466868170193,38.03227404479579,43.60045109653685,28.67446085569655,49.880997848210285,2.0524346828460693,43.66849365084083,10.624768391944869,43.66849365084083,8.92652720711149,43.66849365084083,6.7697105094596,45.23215616681456,5.246332734459209
47.068466329739714,58.596890645586306,46.36691589471236,49.29602108036891,45.998733786705536,36.81059565910825,45.94598563369596,27.508827404479575,52.70759554081672,2.2292068004608154,46.31507015033796,10.919832161760148,46.31507015033796,9.172524192732766,46.31507015033796,6.909617150877622,46.75427926111156,5.323433892108916
49.88099784821027,57.4817835101588,49.14252370607622,48.14340198321892,48.69943922079578,35.40797448165869,,,55.52716014635521,2.436384677886963,49.14709049660617,11.220598287576337,49.14709049660617,9.444645925614076,49.14709049660617,7.076709442997725,,
52.707595540816705,56.21523056653492,52.006045105789354,46.777127799736505,51.58511484477294,33.881633728590245,,,58.353406184608254,2.670124053955078,52.008274327829746,11.52100635848084,52.008274327829746,9.672846255995246,52.008274327829746,7.207876892312008,,
55.52716014635519,54.86060606060607,54.82560971132784,45.32068511198946,53.228747292551304,33.006587615283266,,,61.11283789571583,2.9149765968322754,54.82553724797596,11.763648236966674,54.82553724797596,9.838386976831373,,,,
58.35340618460823,53.390882740447964,57.65185574958088,43.78455862977602,,,,,63.81354332980608,3.1843173503875732,57.657206226955545,12.05605974817685,57.657206226955545,10.167916847219665,,,,
61.112837895715806,51.861979058317736,60.05335356526634,42.34519104084322,,,,,65.72302646875269,3.380342483520508,60.46673906675214,12.323765470480716,60.04901355591123,10.273457794997569,,,,
63.81354332980606,50.25432355592539,,,,,,,,,63.335301611036726,12.574045853749183,,,,,,
65.72302646875266,49.105665349143614,,,,,,,,,65.48410778499044,12.73371182177506,,,,,,
