  1.0283e-01   2.4488e+02 
  1.4728e-01   1.6317e+02 
  1.9103e-01   1.2756e+02 
  2.4198e-01   1.0202e+02 
  2.9936e-01   7.9476e+01 
  3.7921e-01   6.1613e+01 
  5.0241e-01   4.8437e+01 
  6.3044e-01   3.8434e+01 
  8.0809e-01   2.9833e+01 
  1.0481e+00   2.4247e+01 
  1.3214e+00   1.9928e+01 
  1.6425e+00   1.6551e+01 
  2.1304e+00   1.3101e+01 
  2.7632e+00   1.0635e+01 
  3.5839e+00   8.6358e+00 
  4.6485e+00   7.1216e+00 
  6.0292e+00   5.9088e+00 
  7.8200e+00   4.8523e+00 
  1.0143e+01   4.0150e+00 
  1.3156e+01   3.4081e+00 
  1.7063e+01   2.8586e+00 
  2.2132e+01   2.3476e+00 
  2.8705e+01   2.0242e+00 
  3.7232e+01   1.7285e+00 
  4.8291e+01   1.5141e+00 
  6.2634e+01   1.2817e+00 
  8.1239e+01   1.1022e+00 
  1.0537e+02   9.8192e-01 
  1.3667e+02   8.7000e-01 
  1.7726e+02   7.5797e-01 
  2.2991e+02   6.9494e-01 
  2.9821e+02   6.1740e-01 
  3.8678e+02   5.6666e-01 
  5.0167e+02   5.2464e-01 
  6.5068e+02   4.8573e-01 
  8.4395e+02   4.4986e-01 
  1.0946e+03   4.2150e-01 
  1.4198e+03   4.0696e-01 
  1.8091e+03   3.9245e-01 
  2.3885e+03   3.7528e-01 
  3.0979e+03   3.6989e-01 
  4.0181e+03   3.6156e-01 
  5.2116e+03   3.6458e-01 
  6.7596e+03   3.6869e-01 
  8.7674e+03   3.7815e-01 
  1.1372e+04   3.8897e-01 
  1.4749e+04   3.9052e-01 
  1.9130e+04   4.0403e-01 
  2.4813e+04   4.1379e-01 
  3.2183e+04   4.3372e-01 
  4.1742e+04   4.6543e-01 
  5.3716e+04   4.6101e-01 
  7.0222e+04   4.6007e-01 
  9.1081e+04   4.4436e-01 
  1.2033e+05   4.2838e-01 
  1.5363e+05   4.0830e-01 
  1.9874e+05   3.8019e-01 
  2.4183e+05   3.3981e-01 
  2.6962e+05   2.1840e-01 
  2.9356e+05   1.1573e-01 
  3.3751e+05   8.7266e-02 
  4.3364e+05   8.7690e-02 
  5.6244e+05   9.7444e-02 
  7.2951e+05   1.1530e-01 
  9.1322e+05   1.3649e-01 
  2.8318e+05   1.4559e-01 
